date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:17	422426/422426	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:05:59%20GMT	https://hotels.ng/hotels-in-rivers/port-harcourt	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-rivers/port-harcourt.html	(from https://hotels.ng/)
22:06:18	368386/368386	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:00%20GMT	https://hotels.ng/hotels-in-kaduna	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-kaduna.html	(from https://hotels.ng/)
22:06:19	396605/396605	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:01%20GMT	https://hotels.ng/hotels-in-akwaibom/uyo	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-akwaibom/uyo.html	(from https://hotels.ng/)
22:06:20	421330/421330	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:02%20GMT	https://hotels.ng/hotels-in-oyo/ibadan	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-oyo/ibadan.html	(from https://hotels.ng/)
22:06:22	146339/146339	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:03%20GMT	https://hotels.ng/hotel/1470633-wavecrest-beach-resort?utm_source=home&utm_campaign=top-deals&utm_medium=on-site&utm_content=wavecrest-beach-resort	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotel/1470633-wavecrest-beach-resort226f.html	(from https://hotels.ng/)
22:06:23	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Oct%202023%2021:06:05%20GMT	https://media.hotels.ng/img/h1470633/562/422/b1/wavecrest-beach-resort-1470633-12.jpg	C:/Users/pc/Desktop/hotel%20web/media.hotels.ng/img/h1470633/562/422/b1/wavecrest-beach-resort-1470633-12.1d.delayed	(from https://hotels.ng/)
22:06:24	34995/34995	---M--	200	added ('OK')	image/jpeg	etag:%22637f5d0945cc9f2beaba63c5bf21c836%22	https://m.hotels.ng/img/h1470633/562/422/b1/wavecrest-beach-resort-1470633-12.jpg	C:/Users/pc/Desktop/hotel%20web/m.hotels.ng/img/h1470633/562/422/b1/wavecrest-beach-resort-1470633-12.jpg	(from https://hotels.ng/)
22:06:25	304066/304066	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:08%20GMT	https://hotels.ng/hotels-in-lagos/ibeju-lekki	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-lagos/ibeju-lekki.html	(from https://hotels.ng/)
22:06:26	161588/161588	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:09%20GMT	https://hotels.ng/hotel/92856-the-avenue-suites-lagos?utm_source=home&utm_campaign=top-deals&utm_medium=on-site&utm_content=the-avenue-suites-lagos	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotel/92856-the-avenue-suites-lagosc2a4.html	(from https://hotels.ng/)
22:06:27	194/194	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Oct%202023%2021:06:09%20GMT	https://media.hotels.ng/img/h92856/562/422/b1/the-avenue-suites-92856-11.jpg	C:/Users/pc/Desktop/hotel%20web/media.hotels.ng/img/h92856/562/422/b1/the-avenue-suites-92856-11.jpg	(from https://hotels.ng/)
22:06:27	35931/35931	---M--	200	added ('OK')	image/jpeg	etag:%22cb1695f4f85f98c61f13feb9106eebd6%22	https://m.hotels.ng/img/h92856/562/422/b1/the-avenue-suites-92856-11.jpg	C:/Users/pc/Desktop/hotel%20web/m.hotels.ng/img/h92856/562/422/b1/the-avenue-suites-92856-11.jpg	(from https://hotels.ng/)
22:06:28	390706/390706	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:06:11%20GMT	https://hotels.ng/hotels-in-lagos/victoria-island	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-lagos/victoria-island.html	(from https://hotels.ng/)
